"table__cell","table__cell 2","table__cell 3","table__cell 4","table__cell 5","table__cell 6","table__cell 7","icon-elbow"
"Madrid","4.891 €/m2","+ 1,3 %","+ 3,7 %","+ 20,4 %","4.891 €/m2 nov 2024","0,0 %",""
"- 0,3 %","5.062 €/m2","+ 1,3 %","+ 12,5 %","- 0,3 %","5.079 €/m2 oct 2024","","Arganzuela"
"0,0 %","3.901 €/m2","+ 5,9 %","+ 13,0 %","","0,0 %","3.901 €/m2 nov 2024","Barajas"
"- 8,9 %","2.889 €/m2","+ 2,6 %","+ 4,3 %","+ 14,1 %","3.173 €/m2 jun 2007","","Carabanchel"
"","6.594 €/m2","+ 0,7 %","+ 4,8 %","+ 15,3 %","6.594 €/m2 nov 2024","0,0 %","Centro"
"","6.573 €/m2","+ 2,0 %","+ 2,3 %","+ 13,6 %","6.573 €/m2 nov 2024","0,0 %","Chamartín"
"","7.173 €/m2","+ 0,9 %","+ 3,5 %","+ 17,3 %","7.173 €/m2 nov 2024","0,0 %","Chamberí"
"","4.002 €/m2","+ 0,8 %","+ 6,1 %","+ 17,6 %","4.002 €/m2 nov 2024","0,0 %","Ciudad Lineal"
"","4.305 €/m2","+ 1,2 %","+ 5,3 %","+ 12,7 %","4.305 €/m2 nov 2024","0,0 %","Fuencarral"
"","4.490 €/m2","+ 1,5 %","+ 1,6 %","+ 11,1 %","4.490 €/m2 nov 2024","0,0 %","Hortaleza"
"","3.068 €/m2","+ 2,5 %","+ 6,1 %","+ 19,6 %","3.068 €/m2 nov 2024","0,0 %","Latina"
"","5.147 €/m2","+ 1,0 %","+ 2,7 %","+ 13,4 %","5.147 €/m2 nov 2024","0,0 %","Moncloa"
"","3.327 €/m2","+ 3,6 %","+ 4,0 %","+ 20,4 %","3.327 €/m2 nov 2024","0,0 %","Moratalaz"
"- 14,5 %","2.518 €/m2","+ 1,2 %","+ 3,0 %","+ 13,2 %","2.944 €/m2 abr 2008","","Puente de Vallecas"
"","6.333 €/m2","+ 4,1 %","+ 7,3 %","+ 24,3 %","6.333 €/m2 nov 2024","0,0 %","Retiro"
"","8.642 €/m2","+ 2,2 %","+ 7,3 %","+ 24,8 %","8.642 €/m2 nov 2024","0,0 %","Salamanca"
"- 12,7 %","3.194 €/m2","+ 2,3 %","+ 3,8 %","+ 13,9 %","3.656 €/m2 nov 2007","","San Blas"
"","4.950 €/m2","+ 2,7 %","+ 6,6 %","+ 19,4 %","4.950 €/m2 nov 2024","0,0 %","Tetuán"
"- 13,0 %","2.719 €/m2","+ 1,1 %","+ 4,9 %","+ 19,3 %","3.127 €/m2 oct 2007","","Usera"
"","3.297 €/m2","+ 3,2 %","+ 10,3 %","+ 15,0 %","3.297 €/m2 nov 2024","0,0 %","Vicálvaro"
"","2.989 €/m2","+ 2,7 %","+ 3,3 %","+ 11,1 %","2.989 €/m2 nov 2024","0,0 %","Villa de Vallecas"
"- 24,0 %","2.204 €/m2","+ 1,7 %","+ 3,7 %","+ 13,8 %","2.900 €/m2 feb 2008","","Villaverde"
